Time,Alpha status
2023-10-21T09:05:22.000000Z,green
2023-10-21T14:03:33.000000Z,orange
2023-10-21T14:13:04.000000Z,green
2023-10-21T16:37:28.000000Z,orange
2023-10-21T16:43:31.000000Z,green
2023-10-21T17:29:17.000000Z,orange
2023-10-21T17:35:18.000000Z,green
2023-10-21T17:45:24.000000Z,red
2023-10-21T17:47:22.000000Z,orange
2023-10-21T17:53:18.000000Z,orange
2023-10-21T18:07:08.000000Z,green
2023-10-21T18:10:35.000000Z,red
2023-10-21T18:56:56.000000Z,green
2023-10-21T21:45:18.000000Z,red
2023-10-21T22:14:59.000000Z,green
2023-10-22T03:01:42.000000Z,orange
2023-10-22T03:10:31.000000Z,green
2023-10-22T05:56:15.000000Z,orange
2023-10-22T06:08:46.000000Z,green
