Time,Echo status
2023-10-21T11:40:39.000000Z,red
2023-10-21T12:09:37.000000Z,green
2023-10-21T13:07:54.000000Z,orange
2023-10-21T13:20:58.000000Z,green
2023-10-21T17:06:18.000000Z,orange
2023-10-21T17:13:39.000000Z,green
2023-10-21T19:08:02.000000Z,orange
2023-10-21T19:24:00.000000Z,green
2023-10-21T21:45:31.000000Z,red
2023-10-21T22:15:05.000000Z,green
2023-10-22T05:24:02.000000Z,orange
2023-10-22T05:28:53.000000Z,green
2023-10-22T07:05:17.000000Z,orange
2023-10-22T07:17:02.000000Z,green
2023-10-22T08:31:56.000000Z,red
