Time,Foxtrot status
2022-09-04T09:32:06.000000Z,red
2022-10-15T09:01:27.000000Z,green
2022-10-15T11:24:19.000000Z,green
2022-10-15T12:59:03.000000Z,red
2022-10-15T13:28:23.000000Z,green
2022-10-15T14:30:42.000000Z,orange
2022-10-15T14:41:29.000000Z,green
2022-10-15T15:45:27.000000Z,orange
2022-10-15T16:01:54.000000Z,green
2022-10-15T21:45:44.000000Z,red
2022-10-15T22:15:11.000000Z,green
2022-10-16T00:44:04.000000Z,green
2022-10-16T04:37:41.000000Z,green
2022-10-16T07:25:39.000000Z,red
2022-10-16T07:56:12.000000Z,green
2022-10-16T08:24:37.000000Z,orange
2022-10-16T08:42:04.000000Z,green
